date,XON,PG,PFE,WMT,INTC
20030530,0.041193,0.021925,0.013659,-0.065874,0.134458
20030630,-0.013462,-0.028752,0.100903,0.021859,-0.00048
20030731,-0.00919,-0.009587,-0.023133,0.041737,0.19606
20030829,0.06661,-0.006601,-0.098621,0.058308,0.149458
20030930,-0.029178,0.063352,0.015374,-0.05611,-0.037426
20031031,-0.000546,0.063833,0.040158,0.057117,0.197311
20031128,-0.003554,-0.020857,0.067089,-0.056149,0.018513
20031231,0.132597,0.037822,0.052428,-0.044932,-0.044425
20040130,-0.005122,0.01657,0.036796,0.01508,-0.047738
20040227,0.039961,0.014147,0.005187,0.106035,-0.04194
20040331,-0.013754,0.02312,-0.043656,0.004365,-0.068493
20040430,0.023082,0.013063,0.020257,-0.045066,-0.054044
20040528,0.022797,0.019574,-0.006991,-0.02,0.111154
20040630,0.026821,0.009831,-0.029994,-0.053293,-0.033275
20040730,0.042558,-0.037472,-0.067678,0.004738,-0.116667
20040831,0.001512,0.07325,0.027534,-0.003962,-0.125102
20040930,0.048373,-0.033053,-0.063361,0.010063,-0.057774
20041029,0.018415,-0.049704,-0.053922,0.013534,0.109671
20041130,0.046729,0.044939,-0.034888,-0.034495,0.007188
20041231,0.000195,0.029918,-0.031689,0.017096,0.04513
20050131,0.006633,-0.029049,-0.101525,-0.007951,-0.040188
20050228,0.232171,-0.00263,0.096027,-0.015076,0.07216
20050331,-0.058601,-0.001695,-0.000761,-0.026158,-0.03168
20050429,-0.043121,0.026981,0.03426,-0.05927,0.012484
20050531,-0.009469,0.018467,0.033861,0.005091,0.14966
20050630,0.022598,-0.043518,-0.01147,0.020538,-0.034866
20050729,0.022272,0.059905,-0.039159,0.023859,0.043044
20050831,0.024511,-0.002696,-0.031321,-0.085917,-0.049374
20050930,0.060768,0.071738,-0.020016,-0.025356,-0.041602
20051031,-0.116462,-0.053649,-0.129355,0.079644,-0.046653
20051130,0.038831,0.021432,-0.016099,0.026421,0.138723
20051230,-0.032052,0.012065,0.1,-0.033155,-0.064468
20060131,0.117144,0.028162,0.101201,-0.014744,-0.148438
20060228,-0.048765,0.011818,0.029206,-0.016265,-0.026111
20060331,0.025097,-0.038378,-0.048492,0.045139,-0.05534
20060428,0.036477,0.015443,0.016453,-0.046782,0.026722
20060531,-0.029328,-0.06803,-0.056455,0.079669,-0.093093
20060630,0.007224,0.024885,-0.00803,-0.005779,0.054384
20060731,0.104156,0.016367,0.107371,-0.076188,-0.052632
20060831,0.003691,0.101424,0.069642,0.008708,0.092778
20060929,-0.008423,0.001292,0.029028,0.102862,0.051099
20061031,0.064382,0.027751,-0.060296,-0.000811,0.037433
20061130,0.07995,-0.009465,0.040525,-0.064529,0.007263
20061229,-0.002343,0.023571,-0.057839,0.005369,-0.053517
20070131,-0.033016,0.014159,0.013127,0.032698,0.035062
20070228,-0.02834,-0.021273,-0.037729,0.013001,-0.047113
20070330,0.052595,-0.005198,0.012019,-0.023598,-0.036757
20070430,0.052087,0.025174,0.047506,0.02066,0.123889
20070531,0.052154,-0.013199,0.049887,-0.002087,0.036856
20070629,0.008537,-0.037136,-0.069844,0.010714,0.070334
20070731,0.014902,0.016669,-0.080563,-0.044897,-0.005051
20070831,0.011159,0.055771,0.068907,-0.045702,0.094941
20070928,0.079669,0.077017,-0.016506,0.000458,0.004272
20071031,-0.006158,-0.006682,0.007368,0.035739,0.040217
20071130,-0.026959,0.064442,-0.022755,0.0595,-0.026301
20071231,0.050808,-0.007838,-0.04335,-0.003132,0.022239
20080131,-0.07781,-0.104195,0.027717,0.067536,-0.208552
20080229,0.011111,0.011617,-0.032534,-0.022665,-0.047517
20080331,-0.027928,0.058779,-0.060592,0.0671,0.060596
20080430,0.100378,-0.037391,-0.039178,0.100607,0.050991
20080530,-0.042011,-0.014914,-0.021382,-0.000043,0.047619
20080630,-0.007098,-0.079334,-0.097624,-0.026671,-0.073339
20080731,-0.087371,0.083374,0.068689,0.04306,0.033054
20080829,-0.000249,0.065516,0.040707,0.011728,0.036954
20080930,-0.029371,-0.001147,-0.03506,0.013882,-0.181023
20081031,-0.045583,-0.068159,-0.039588,-0.068125,-0.1441
20081128,0.086751,-0.002944,-0.054207,0.001254,-0.130435
20081231,-0.003993,-0.039316,0.077906,0.007471,0.062319
20090130,-0.041964,-0.111938,-0.176736,-0.159472,-0.120055
20090227,-0.106956,-0.116147,-0.133745,0.044992,-0.00155
20090331,0.002945,-0.022421,0.106417,0.063617,0.179749
20090430,-0.020999,0.059248,-0.01909,-0.03263,0.0499
20090529,0.046498,0.050566,0.148952,-0.007688,0.00507
20090630,0.008075,-0.016173,-0.012508,-0.026136,0.052799
20090731,0.006866,0.094912,0.062,0.029728,0.163142
20090831,-0.011649,-0.025221,0.05838,0.025311,0.062857
20090930,-0.007809,0.070412,-0.008982,-0.034991,-0.036909
20091030,0.0446,0.008978,0.029003,0.012019,-0.023505
20091130,0.0533,0.075,0.076336,0.098027,0.012036
20091231,-0.091648,-0.027586,0.001101,-0.01517,0.0625
20100129,-0.05514,0.022431,0.025838,-0.000374,-0.04902
20100226,0.015366,0.028107,-0.049839,0.011978,0.066366
20100331,0.030462,-0.000158,-0.022792,0.033891,0.085728
20100430,0.011794,-0.009929,-0.025073,-0.035252,0.024675
20100528,-0.101372,-0.017214,-0.078349,-0.05178,-0.055276
