date,sp500
20090728,-0.002438
20090729,-0.004232
20090730,0.011931
20090731,0.000594
20090803,0.015215
20090804,0.002984
20090805,-0.002714
20090806,-0.005597
20090807,0.013266
20090810,-0.003304
20090811,-0.011987
20090812,0.011798
20090813,0.007025
20090814,-0.008445
20090817,-0.023926
20090818,0.010187
20090819,0.007059
20090820,0.010558
20090821,0.018416
20090824,-0.000583
20090825,0.002407
20090826,0.00029
20090827,0.002485
20090828,-0.001989
20090831,-0.007871
20090901,-0.021739
20090902,-0.003071
20090903,0.008764
20090904,0.012966
20090908,0.008913
20090909,0.007755
20090910,0.010279
20090911,-0.001161
20090914,0.006243
20090915,0.003038
20090916,0.015149
20090917,-0.002853
20090918,0.002624
20090921,-0.003233
20090922,0.006615
20090923,-0.01007
20090924,-0.009156
20090925,-0.006292
20090928,0.017753
20090929,-0.00222
20090930,-0.003401
20091001,-0.025416
20091002,-0.004416
20091005,0.014663
20091006,0.01369
20091007,0.003153
20091008,0.007512
20091009,0.005545
20091012,0.004357
20091013,-0.002409
20091014,0.01743
20091015,0.003971
20091016,-0.007959
20091019,0.009393
20091020,-0.006263
20091021,-0.008705
20091022,0.010584
20091023,-0.011542
20091026,-0.011538
20091027,-0.003531
20091028,-0.019478
20091029,0.02241
20091030,-0.027945
20091102,0.006402
20091103,0.002456
20091104,0.00133
20091105,0.019499
20091106,0.002607
20091109,0.022363
20091110,0.000229
20091111,0.005054
20091112,-0.009921
20091113,0.005801
20091116,0.014478
20091117,0.001241
20091118,-0.000216
20091119,-0.013166
20091120,-0.003328
20091123,0.013635
20091124,-0.000588
20091125,0.004628
20091127,-0.01698
20091130,0.003926
20091201,0.012002
20091202,0.000517
20091203,-0.008319
20091204,0.005461
20091207,-0.002519
20091208,-0.010203
20091209,0.00366
20091210,0.006023
20091211,0.003802
20091214,0.006696
20091215,-0.005645
20091216,0.000944
20091217,-0.011886
20091218,0.006278
20091221,0.010349
20091222,0.003565
20091223,0.002687
20091224,0.005245
20091228,0.001421
20091229,-0.001191
20091230,0.000207
20091231,-0.010167
20100104,0.01597
20100105,0.003066
20100106,0.000907
20100107,0.003898
20100108,0.002791
20100111,0.001724
20100112,-0.009159
20100113,0.008434
20100114,0.002369
20100115,-0.010708
20100119,0.012443
20100120,-0.010489
20100121,-0.018772
20100122,-0.021872
20100125,0.004539
20100126,-0.004003
20100127,0.004791
20100128,-0.011755
20100129,-0.009675
20100201,0.014002
20100202,0.012781
20100203,-0.004936
20100204,-0.031009
20100205,0.003003
20100208,-0.008498
20100209,0.012927
20100210,-0.002047
20100211,0.009735
20100212,-0.00256
20100216,0.018242
20100217,0.004566
20100218,0.006558
20100219,0.001968
20100222,-0.000985
20100223,-0.012151
20100224,0.009932
20100225,-0.001729
20100226,0.00137
20100301,0.01
20100302,0.002319
20100303,0.00038
20100304,0.003904
20100305,0.013974
20100308,0.000171
20100309,0.001958
20100310,0.004812
20100311,0.004563
20100312,-0.000332
20100315,0.000617
20100316,0.007967
20100317,0.005805
20100318,-0.000355
20100319,-0.005295
20100322,0.005317
20100323,0.007378
20100324,-0.005491
20100325,-0.001427
20100326,0.00076
20100329,0.005649
20100330,0.000171
20100331,-0.003289
20100401,0.007302
20100405,0.008022
20100406,0.001781
20100407,-0.005259
20100408,0.003583
20100409,0.006607
20100412,0.00186
20100413,0.000747
20100414,0.011312
20100415,0.000686
20100416,-0.016104
20100419,0.004721
20100420,0.008132
20100421,-0.000906
20100422,0.002409
20100423,0.006918
20100426,-0.00446
20100427,-0.023272
20100428,0.006419
20100429,0.013005
20100430,-0.016712
20100503,0.012927
20100504,-0.023775
20100505,-0.0061
20100506,-0.032201
20100507,-0.015477
20100510,0.043619
20100511,-0.003092
20100512,0.014099
20100513,-0.012071
20100514,-0.018848
20100517,0.001267
20100518,-0.013955
20100519,-0.005121
20100520,-0.038569
20100521,0.014701
20100524,-0.012638
20100525,0.000262
20100526,-0.005595
20100527,0.033149
20100528,-0.012146
20100601,-0.017027
20100602,0.025802
20100603,0.004262
20100604,-0.034767
20100607,-0.013255
20100608,0.010932
20100609,-0.0057
20100610,0.029205
20100611,0.004718
20100614,-0.001694
20100615,0.023318
20100616,-0.000658
20100617,0.001306
20100618,0.001281
20100621,-0.003953
20100622,-0.015842
20100623,-0.002992
20100624,-0.016901
20100625,0.00299
20100628,-0.002108
20100629,-0.031168
20100630,-0.010014
20100701,-0.002911
20100702,-0.004509
20100706,0.005406
20100707,0.031502
20100708,0.009588
20100709,0.007205
20100712,0.000925
20100713,0.015524
20100714,-0.00011
20100715,0.001109
20100716,-0.028703
20100719,0.005974
20100720,0.011595
20100721,-0.012708
20100722,0.022423
20100723,0.008242
20100726,0.01112
20100727,-0.001073
20100728,-0.006874
20100729,-0.004039
20100730,0.000052
20100802,0.021847
20100803,-0.004813
20100804,0.006417
20100805,-0.001333
20100806,-0.003445
20100809,0.005515
20100810,-0.00597
20100811,-0.027435
20100812,-0.005483
20100813,-0.003902
20100816,0.000195
20100817,0.012525
20100818,0.001444
20100819,-0.016935
20100820,-0.003539
20100823,-0.003789
20100824,-0.014424
20100825,0.003523
20100826,-0.007759
20100827,0.01656
20100830,-0.014556
20100831,-0.000067
20100901,0.029898
20100902,0.009295
20100903,0.013217
20100907,-0.01115
20100908,0.006538
20100909,0.00479
20100910,0.004883
20100913,0.011575
20100914,-0.000482
20100915,0.003593
20100916,-0.000121
20100917,0.001005
20100920,0.015202
20100921,-0.002731
20100922,-0.004449
20100923,-0.008258
20100924,0.020924
20100927,-0.005519
20100928,0.005024
20100929,-0.002404
20100930,-0.003101
20101001,0.00445
20101004,-0.007918
20101005,0.020519
20101006,0.000064
20101007,-0.001617
20101008,0.006125
20101011,0.000207
20101012,0.003755
20101013,0.007272
20101014,-0.003865
20101015,0.002134
20101018,0.007368
20101019,-0.015835
20101020,0.010449
20101021,0.002
20101022,0.002272
20101025,0.00228
20101026,0.000284
20101027,-0.002547
20101028,0.001306
20101029,-0.000142
20101101,0.00074
20101102,0.007736
20101103,0.003861
20101104,0.01933
20101105,0.003984
20101108,-0.002
20101109,-0.007598
20101110,0.004364
20101111,-0.004139
20101112,-0.011796
20101115,-0.001374
20101116,-0.015729
20101117,0.000274
20101118,0.015284
20101119,0.002599
20101122,-0.001372
20101123,-0.014258
20101124,0.015003
20101126,-0.007258
20101129,-0.001085
20101130,-0.005854
20101201,0.021595
20101202,0.012844
20101203,0.002709
20101206,-0.001162
20101207,0.000655
20101208,0.003878
20101209,0.00398
20101210,0.00613
20101213,0.000224
20101214,0.001005
20101215,-0.004986
20101216,0.006158
20101217,0.001119
20101220,0.002346
20101221,0.006134
20101222,0.003422
20101223,-0.001591
20101227,0.000807
20101228,0.000765
20101229,0.001216
20101230,-0.001459
20101231,-0.000271
20110103,0.011325
20110104,-0.001236
20110105,0.005164
20110106,-0.001715
20110107,-0.001755
20110110,-0.001549
20110111,0.003829
20110112,0.009032
20110113,-0.001697
20110114,0.007206
20110118,0.001383
20110119,-0.00996
20110120,-0.001058
20110121,0.002205
20110124,0.005643
20110125,0.0004
20110126,0.00433
20110127,0.002442
20110128,-0.017916
20110131,0.007465
20110201,0.016542
20110202,-0.00247
20110203,0.002366
20110204,0.002751
20110207,0.006562
20110208,0.004593
20110209,-0.00273
20110210,0.000744
20110211,0.005651
20110214,0.00241
20110215,-0.003153
20110216,0.006311
20110217,0.003255
20110218,0.001846
20110222,-0.020693
20110223,-0.006134
20110224,-0.000795
20110225,0.010296
20110228,0.00512
20110301,-0.015713
20110302,0.002
20110303,0.017027
20110304,-0.00728
20110307,-0.008306
20110308,0.00911
20110309,-0.001121
20110310,-0.018763
20110311,0.007394
20110314,-0.005894
20110315,-0.011073
20110316,-0.019373
20110317,0.012992
20110318,0.004214
20110321,0.015058
20110322,-0.003353
20110323,0.002916
20110324,0.009368
20110325,0.003189
20110328,-0.002774
20110329,0.007224
20110330,0.00672
20110331,-0.001745
20110401,0.00489
20110404,0.000419
20110405,0.000089
20110406,0.002602
20110407,-0.001498
20110408,-0.004034
20110411,-0.002773
20110412,-0.007576
20110413,0.000442
20110414,0.000048
20110415,0.003814
20110418,-0.011038
20110419,0.005612
20110420,0.013576
20110421,0.005122
20110425,-0.001707
20110426,0.008955
20110427,0.006537
20110428,0.003553
20110429,0.002303
20110502,-0.00174
20110503,-0.003341
20110504,-0.006527
20110505,-0.008979
20110506,0.00392
20110509,0.004444
20110510,0.008069
20110511,-0.010324
20110512,0.005203
20110513,-0.008049
20110516,-0.006157
20110517,-0.000167
20110518,0.008827
20110519,0.002355
20110520,-0.007732
20110523,-0.01192
20110524,-0.000953
20110525,0.003019
20110526,0.004271
20110527,0.004343
20110531,0.010535
20110601,-0.022642
20110602,-0.001226
20110603,-0.009755
20110606,-0.010634
20110607,-0.000794
20110608,-0.004053
20110609,0.007452
20110610,-0.013762
20110613,0.000999
20110614,0.012595
20110615,-0.017561
20110616,0.001957
20110617,0.003049
20110620,0.005522
20110621,0.013557
20110622,-0.006441
20110623,-0.002696
20110624,-0.011903
20110627,0.009232
20110628,0.013162
20110629,0.008388
20110630,0.010084
20110701,0.014493
20110705,-0.001209
20110706,0.001503
20110707,0.010678
20110708,-0.006843
20110711,-0.018032
20110712,-0.00443
20110713,0.003165
20110714,-0.006812
20110715,0.005592
20110718,-0.008152
20110719,0.016329
20110720,-0.000564
20110721,0.013493
20110722,0.000963
20110725,-0.005611
20110726,-0.00389
20110727,-0.020252
20110728,-0.003164
20110729,-0.006379
20110801,-0.004214
20110802,-0.025575
20110803,0.005456
20110804,-0.047724
20110805,-0.000673
20110808,-0.066532
20110809,0.04742
20110810,-0.043752
20110811,0.046185
20110812,0.005184
20110815,0.021687
20110816,-0.00912
20110817,0.001028
20110818,-0.044371
20110819,-0.014923
20110822,0.000358
20110823,0.034443
20110824,0.013181
20110825,-0.01556
20110826,0.015294
